title,website_url,homeschool_com_url,grades_or_ages,prices_mentioned,description
Science Shepherd Physical Science Course,https://scienceshepherd.com/,https://www.homeschool.com/resource-guide/science-shepherd/,3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,varies,Science Shepherd is a Biblically-sound homeschool science curriculum that is easy to understand with a great user experience and motivating layout. The curriculum allows students to work independently with no science
NewPathOnline.com,https://www.newpathonline.com/learning,https://www.homeschool.com/resource-guide/newpathonline-com/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade,$1,"Research-based and developed in partnership with the National Institutes of Health (NIH), NewPath’s unique, personalized Online Learning Platform has been proven to “substantially increase student comprehension of"
NewPathWorhsheets.com,https://newpathworksheets.com/,https://www.homeschool.com/resource-guide/newpathworhsheets-com/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade,$1,"Download & print resources updated to the latest standards with unlimited access to over 10,000 printable worksheets and related instructional resources for Grade K – 10 Math, Science, Reading/Language Arts, and"
Go2Science,http://go2science.com/,https://www.homeschool.com/resource-guide/go2science/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade,$1,"Go2Science engages learners in the scientific method (the process of science). Our adventures build critical thinking, a strong sense of inquiry, and a diverse understanding of the world. Beth Heidemann, an"
Let’s Make It Academy,https://www.letsmakeitacademy.com/collections/beginner-hand-sewing-lessons,https://www.homeschool.com/resource-guide/lets-make-it-academy/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$1,"Every young student today needs to practice their hand skills. And what better way than with hand sewing? Hand sewing is a life skill and will enhance your child's fine motor skills, hand-eye coordination, and"
Edu-Together Academy: A Virtual Learning Experience,https://www.edutogether.org/academy,https://www.homeschool.com/resource-guide/edu-together/,3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$1,"Edu-Together Academy is a fully accredited virtual school serving grades 3–12, offering a flexible and academically rigorous curriculum tailored for homeschool families. With over 12 years of experience, the academy"
Colorbliss,https://colorbliss.com/,https://www.homeschool.com/resource-guide/colorbliss/,Pre-K - 12th Grade,Subscription based with prices ranging from $7 - $25,"ColorBliss is an AI-powered platform designed to create personalized coloring pages quickly and easily. You can generate unique, printable coloring sheets by inputting text prompts or uploading images. The platform is"
First Aid and CPR Training,https://pacificmedicaltraining.com/education-cpr-first-aid-and-aed,https://www.homeschool.com/resource-guide/first-aid-and-cpr-training/,5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$125,"Our CPR, first aid, and AED course is an OSHA-compliant course that prepares you to recognize and help an adult, child, or infant experiencing a first aid, breathing, or cardiac emergency. Approximately 300,000"
Digital Essay Writing Course,https://writeonwebb.teachable.com/p/essayessentials,https://www.homeschool.com/resource-guide/digital-essay-writing-course/,3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,$196,"This academic writing course includes a complete step-by-step academic guide for developing essays that will impress readers, improve writing skills, and build confidence. The pre-recorded instructional videos allow"
E Singapore Math,https://esingaporemath.com/,https://www.homeschool.com/resource-guide/e-singapore-math/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade,$99,The E Singapore Math online program is an effective online classroom and homeschooling curriculum. E Singapore Math provides students with access to high quality instruction and a state-of-the art technology platform
Music in Our Homeschool,https://learn.musicinourhomeschool.com/p/music-in-our-homeschool-plus-membership,https://www.homeschool.com/resource-guide/music-in-our-homeschool-2/,Pre-K - 12th Grade,$39/month,"Music in Our Homeschool Plus (MIOH+) is the ultimate membership for homeschool families looking for an easy, engaging, and high-quality way to integrate music and art education into their daily learning. Whether"
Math Galaxy,https://www.mathgalaxy.com/,https://www.homeschool.com/resource-guide/math-galaxy/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade,$4.99,Discover this 5 star app with math riddle worksheets perfect for your elementary aged student. Review lessons through fun online activities.
Parenting a Child with Disabilities,http://disabilityadvice.org/child-disability/,https://www.homeschool.com/resource-guide/parenting-a-child-with-disabilities/,Pre-K - 12th Grade,Free,"DisabilityAdvice.org offers a free guide for parents of children with learning disabilities, including ADHD, dyslexia, and more. It provides practical tips on accessing educational support, financial assistance like"
Twinimation Studios,https://twinimationstudios.podia.com/,https://www.homeschool.com/resource-guide/twinimation-studios/,3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,Courses range from $45 - $120 they do offer payment plans,"Twinimation Studios is an online animation school with two missions! One, to honor the interests of our students! Each course is specifically tailored to a single topic. Whether it’s Japanese anime, classic American"
Lincoln Learning Solutions,https://www.lincolnlearningsolutions.org/homeschool,https://www.homeschool.com/resource-guide/lincoln-learning-solutions/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,varies,"Our Lincoln Empowered standards-based curriculum, designed by educators, provides a strong foundation for learning. Our homeschool catalog features more than 200 K-12 core, elective, and specialty courses, tailored to"
Snappywords,https://www.snappywords.com/,https://www.homeschool.com/resource-guide/snappywords/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,Free,"Snappywords is a popular resource for everything you need to know about the English language. Students of schools and universities come here to find useful synonyms and antonyms for their essays, term papers and theses."
Where’d You Learn That?,https://www.wheredyoulearnthat.com/,https://www.homeschool.com/resource-guide/whered-you-learn-that/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,varies,"Where'd You Learn That is a homeschool resource with affordable curriculum options for PreK to middle school. With a heavy focus on literature, they also offer options in Spanish and Mandarin Chinese! They have complete"
Windows of Wisdom,https://www.windowsofwisdom.com/,https://www.homeschool.com/resource-guide/windows-of-wisdom/,3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,varies,"Words of Wisdom (WoW) is an education non profit that provides curriculum for grades 3-8. Their pre-recorded videos make for open-and-go learning that has been used and loved by homeschool families, charter schools,"
Core Knowledge,https://www.coreknowledge.org/,https://www.homeschool.com/resource-guide/core-knowledge/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,free with option to purchase,"Core Knowledge is a free knowledge-based curriculum for grades PreK-8th. Buy teaching the basics and building on those foundations from a young age, it sets your child up for success. Visit their website to learn more."
Treehouse Schoolhouse,https://treehouseschoolhouse.com/,https://www.homeschool.com/resource-guide/treehouse-schoolhouse/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade,varies,"Treehouse Schoolhouse is an open-and-go curriculum that focuses on educating the whole child. With high-quality materials, your child will love learning with these beautiful products. Your student will learn exciting"
Greek ‘n’ Stuff,https://www.greeknstuff.com/index.html,https://www.homeschool.com/resource-guide/greek-n-stuff/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade,varies,"Whether you're wanting your child to learn Greek, Latin, or just more about the Bible, Greek 'n' Stuff has you covered. Even your young children (preschool ages and up!) can begin learning Biblical Greek with"
Teach Me Truth,https://www.teachmetruth.com/,https://www.homeschool.com/resource-guide/teach-me-truth/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,varies by course,"Teach Me Truth is a Christian non-profit education platform that provides families with comprehensive and supplemental curriculum options. Whether you're looking for complete curriculum, additional help in certain"
M&M Driving School,https://www.mandmdriving.com/,https://www.homeschool.com/resource-guide/mm-driving-school/,10th Grade; 11th Grade; 12th Grade,varies,"If your teen is ready to hit the road, see if M&M Driving School would be a good fit for their driver's ed requirement. Based in Massachusetts, M&M offers online driving classes by professionally trained and"
Preppy,https://preppy.org/,https://www.homeschool.com/resource-guide/preppy/,11th Grade; 12th Grade,varies by course,"Is your high school student preparing to go into a certain field? Set them up for success by taking courses from Preppy! Their goal is to make ""world-class career and skills training affordable and accessible for"
Beyond Personal Finance,https://beyondpersonalfinance.com/,https://www.homeschool.com/resource-guide/beyond-personal-finance/,3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,varies by course,"Are you wanting to start your child on a path to financial wisdom? With Beyond Personal Finance, you are able to do just that. With 2 courses, one for ages 8-12 and one for teens, your child will learn how to manage"
Lily and Thistle,https://www.lilyandthistle.com/,https://www.homeschool.com/resource-guide/lily-and-thistle/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade,varies by course,"Have you wanted to integrate art into your homeschool, perhaps including other subjects, but you weren't sure where to begin? Look no further than Lily and Thistle. Created by a homeschool artist mom, she offers several"
GeoMatters,https://geomatters.com/,https://www.homeschool.com/resource-guide/geomatters/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,varies,GeoMatters is a homeschool geography curriculum with unit study options for K-5th grades and a multi-age U.S and World Geography curriculum for grades 3-12. If you're looking for a complete curriculum with a strong
42 Electronics,https://42electronics.com/pages/homeschool-electronics-coding-robotics,https://www.homeschool.com/resource-guide/42-electronics/,10th Grade; 11th Grade; 12th Grade,varies by course,"Learn coding and robotics in your homeschool with 42 Electronics. With open-and-go courses, video lessons, and hands-on experimentation with their equipment kit, whether you have a beginning learner or STEM genius, 42"
CrunchLabs,https://www.crunchlabs.com/,https://www.homeschool.com/resource-guide/crunchlabs/,3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,varies by payment option,"CrunchLabs is a program that encourages your student (and yourself!) to think like an engineer. With their two subscription box options, Build Box for kids 8-13 and Hack Pack for ages 14 and up, you can provide your"
Ani VeAmi,https://ani-ve-ami.com/,https://www.homeschool.com/resource-guide/ani-veami/,Pre-K - 12th Grade,free with additional paid options,"Ani VeAmi is noted as being the first Jewish Homeschool Curriculum. Several families came together to create what they couldn't find - a thorough, faith-based curriculum for children of all ages. With free planning"
Mater Amabilis,https://materamabilis.org/ma/,https://www.homeschool.com/resource-guide/mater-amabilis/,Pre-K - 12th Grade,Free,Mater Amabilis is a free homeschool curriculum for Catholic students in a Charlotte-Mason style. It is a comprehensive curriculum that is fully adaptable for individual families' needs. If you're looking to educate your
Rooted in Language,https://rootedinlanguage.com/,https://www.homeschool.com/resource-guide/rooted-in-language/,Kindergarten; 1st Grade,varies by course,"Rooted in Language is a curriculum that focuses on all things reading and writing. Their Pinwheels curriculum is comprehensive for new learners or struggling learners to learn to read, write, and spell. Once they have"
Teen Life Coaching (TLC),http://www.tlccourse.com/,https://www.homeschool.com/resource-guide/teen-life-coaching-tlc/,9th Grade; 10th Grade; 11th Grade; 12th Grade,$249,"Teen Life Coaching (TLC) serves as a bridge between traditional school curriculum teachings and the practical skills necessary for creating a fulfilling life. Tailored for high school students, this 7-module course"
Moxie Learning,https://mailchi.mp/moxielearning.us/classes,https://www.homeschool.com/resource-guide/moxie-learning/,3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade,varies by subject,"Discover Moxie Learning, the ideal partner for homeschooling parents with children in grades 3-10. We provide live, interactive virtual classes in math, writing, and executive function skills. Our small group settings"
LevelUp Reader,https://levelupreader.net/,https://www.homeschool.com/resource-guide/levelup-reader/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade,free trial,Need more from your supportive literacy platform? Discover Rosen Publishing’s LevelUp Reader: a robust adaptive reading platform that brings educators and students to one engaging resource to foster students’
Rewbi Bible Studies,http://www.rewbibiblestudies.com/?fbclid=IwAR3bxf3nq-l1rAnyzsirPtFZ3R-M6r3DBOoBveDUGLeH-GHVuUOYXADWEhg_aem_ATXVLm7E5xWwTLSUacriyWC2JNeFxE3NHmhsr7gFI4SizCR2mJIs8aLwirgJGDbk11Rv156ZCkNI5key0WqqoGIA,https://www.homeschool.com/resource-guide/rewbi-bible-studies/,8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,varies,"Rewbi Bible Studies help you dig deeper into God’s word and read through the full books of the Bible. Our studies are perfect for adults, family study, or high school and upper middle school students who want to"
Arts Empowering Life,http://artsempoweringlife.org/,https://www.homeschool.com/resource-guide/arts-empowering-life/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,Free,"Arts Empowering Life (Beauty, Truth, and Faith in the Arts) presents the FREE In-person & Livestreamed Arts & Entertainment Lecture series for all ages. The arts are a beacon of hope and light in our times,"
The Freedom Chain,http://scribblesbyshawn.com/,https://www.homeschool.com/resource-guide/the-freedom-chain/,6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,varies based on format,"Dive into the heart of ancient Rome with The Freedom Chain, a captivating tale crafted for middle schoolers and above. Set against the backdrop of Emperor Trajan's reign, this gripping narrative delicately navigates"
Cyber Legends,https://www.cyberlegends.com/homeschool,https://www.homeschool.com/resource-guide/cyber-legends/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,Free or $9.99 monthly/$99.99 yearly for Premium Subscription,"At Cyber Legends, their mission is to help support educators and parents in raising cyber-smart kids in a digital world. They believe that a child's success in life is dependent on their digital safety. With"
Brown County Forge,https://blacksmithhomeschool.com/p/home,https://www.homeschool.com/resource-guide/brown-county-forge/,6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,Free - $49,"Spark your child’s creativity with our online blacksmithing courses! Designed for complete beginners ages 10 and up, this course merges the magic of creativity, the warmth of family bonding, and the excitement of"
Super Star Worksheets,https://superstarworksheets.com/,https://www.homeschool.com/resource-guide/super-star-worksheets/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade,Free,"Super Star Worksheets provides all kinds of printables and templates for use in your homeschool with younger kids (elementary). From language arts to science to math to Spanish to geography and more, if you're looking"
Little Monsters Universe,https://littlemonstersuniverse.com/,https://www.homeschool.com/resource-guide/little-monsters-universe/,Preschool; Kindergarten; 1st Grade; 2nd Grade,varies,"Little Monsters Universe is catered for your little homeschoolers (Prek-2) with a scientific focus. Whether they love all things science or you want to simply introduce them to science in a fun way, Little Monsters"
The Crafty Classroom,https://thecraftyclassroom.com/,https://www.homeschool.com/resource-guide/the-crafty-classroom/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade,varies by product,"The Crafty Classroom is a website filled with resources, curricula, and items available for purchase all to make homeschool parents' lives easier. Whether you're looking for art, science, unit studies, or more, visit"
Art History Kids,https://www.arthistorykids.com/,https://www.homeschool.com/resource-guide/art-history-kids/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade,varies by product,"Art History Kids was created by a homeschool mom who wanted to teach art appreciation to her son in a fun, inspiring way. When she couldn't find what she was looking for, she created it, and now shares it with other"
Cosmic Kids Yoga,https://www.youtube.com/@CosmicKidsYoga,https://www.homeschool.com/resource-guide/cosmic-kids-yoga/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade,Free,"Cosmic Kids Yoga is a popular YouTube channel led by yoga teacher Jaime as she walks kids through fun, calming yoga poses with popular movie/show/game characters your kids will love. Visit her channel for a fun physical"
Critikid,https://critikid.com/,https://www.homeschool.com/resource-guide/critikid/,2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,varies by product,"Critikid – Critical Thinking for Kids offers a range of interactive, self-paced critical thinking courses with videos and activities for ages 5-18. ""Emotional Intelligence"" (ages 5-8): Learn to recognize,"
BrainHunters Academy,https://brainhunters.academy/,https://www.homeschool.com/resource-guide/brainhunters-academy/,Preschool,Free,"BrainHunters Academy is a free, online Preschool program that offers engaging content based on the skill level and interests of your child. There are also lots of free worksheets available for download, or workbooks"
Excavating Adventures,https://excavatingadventures.com/,https://www.homeschool.com/resource-guide/excavating-adventures/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade,Free - $18.99/monthly subscription,"Excavating Adventures is a remarkable and free educational program tailor-made for homeschooling students. Our platform offers an array of captivating Earth Science-themed adventures, each designed to provide an"
HomeSchoolPiano,https://homeschoolpiano.com/,https://www.homeschool.com/resource-guide/homeschoolpiano/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$19.95 - $44.95 per month,HomeSchoolPiano has been teaching families how to learn the piano through online lessons since 2016. HomeSchoolPiano is different than other piano methods because we focus on developing the entire musician. Far too
SMARTS@Home,https://smarts-ef.org/smarts-at-home-for-parents/?pa=Learnabilities&subid=HSCOM,https://www.homeschool.com/resource-guide/smartshome/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade,$149 per year,"SMARTS@Home is an executive function curriculum created by ResearchILD for children in grades 1-6. Each unit contains four lessons, filled with fun activities, practical strategies, and “extension” suggestions for"
FabuLingua,https://www.fabulingua.com/homeschool,https://www.homeschool.com/resource-guide/fabulingua/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,$69.99/ year for 6 children's profiles,Learning new languages opens up doors in life! FabuLingua's mission is to give every child the unique advantage of learning new languages effectively. FabuLingua is NOT traditional language learning! FabuLingua teaches
Educate Station,http://www.educatestation.com,https://www.homeschool.com/resource-guide/educate-station/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade,$8.95 per Month or $75.00 per Year,"Educate Station was developed by experienced and passionate educators from across the United States. With a full curriculum for grades Pre-K through Fifth Grade, Educate Station is presented in a recommended learning"
My Skills Prep,https://myskillsprep.com/,https://www.homeschool.com/resource-guide/my-skills-prep/,8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,varies,"Core Skills for Success This five-week program introduces and instills five core skill areas corresponding to academic, career, and life success. This evidence-based program is supported by a large and growing body of"
Dr. Robin’s School,https://www.docrobinschool.com/?utm_source=Homeschool.com&utm_medium=Basic+listing&utm_campaign=generic,https://www.homeschool.com/resource-guide/dr-robins-school/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$24.95 per month,Real in-depth human biology gives your kids the genuine understanding and intrinsic motivation to take good care of their amazing bodies! 80+ recorded video lessons are taught by a family physician and homeschooling mom
Big River Academy,https://www.bigriveracademy.com/,https://www.homeschool.com/resource-guide/big-river-academy/,6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,varies,"Big River Academy is a Christian online homeschool for middle and high school students. Your child will hear our voices, they will see our faces, and we will know them. Our students are part of an online learning"
Classical Liberal Arts Academy,https://classicalliberalarts.com/,https://www.homeschool.com/resource-guide/classical-liberal-arts-academy/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$25 - $100 per month,"Classical Liberal Arts Academy allows all students to access the most excellent course of classical Catholic studies, and to do so at their own pace. There are no books needed and a simple monthly subscription"
Discover!,https://discoverk12books.com/,https://www.homeschool.com/resource-guide/discover/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade,varies,"Discover! is the only elementary curriculum blended by design, providing students with the best in online learning and the benefits of print-based activities. By combining computer-based learning with the benefits of"
Homeschool+,https://www.homeschoolplus.com/?src_tag=aff:hs:hcom:curfinder:2023&utm_id=2023-04&utm_source=hcom&utm_campaign=curriculum+finder+2023&utm_medium=curriculum+finder,https://www.homeschool.com/resource-guide/homeschool/,Preschool; Kindergarten; 1st Grade; 2nd Grade,varies by monthly/yearly subscription,"Homeschool+™ supports you, the home educator, in creating a customized learning environment where you and your children can thrive, and their love of learning and academic success shines. Homeschool+ curriculums"
Excel Mathematics,https://www.excelmathematics.com/,https://www.homeschool.com/resource-guide/excel-mathematics/,6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade,"$7 first month, $47 each following month, or $297/year","Excel Mathematics is a complete online homeschool math curriculum for 6th through 8th grade, Algebra 1 and Geometry in a course coverage that meets and exceeds state and national standards. Math instruction is presented"
F.O.R.M. Curriculum,https://www.formcurriculum.com/homeschool,https://www.homeschool.com/resource-guide/f-o-r-m-curriculum/,6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$97,F.O.R.M. is an interactive curriculum experience that teaches students the principles and practices of sustainable physical wellness and healthy living. F.O.R.M. stands for: F - Functional Fitness O - Optimal
Elemental Science,https://elementalscience.com/,https://www.homeschool.com/resource-guide/elemental-science/,Pre-K - 12th Grade,varies,"Elemental Science offers multiple series for teaching science from classical to lapbooks to adventure-style science. All of these programs include the three keys to teaching science, so you can choose what will fit your"
Sabbath Mood Homeschool,https://sabbathmoodhomeschool.com/,https://www.homeschool.com/resource-guide/sabbath-mood-homeschool/,4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,varies,"Many parents and teachers see the importance of Charlotte Mason’s methods for science education. However, they may not have the time to prepare such a program or know where to begin. Using Sabbath Mood Homeschool’s"
The Peaceful Press,https://www.thepeacefulpreschool.com/,https://www.homeschool.com/resource-guide/the-peaceful-press/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade,varies,This Preschool through Elementary curriculum is beautifully crafted in a Charlotte Mason style and is extremely affordable. Visit the website to get a free week of the curriculum to see if it will work for your family.
Scratch,https://scratch.mit.edu/,https://www.homeschool.com/resource-guide/scratch/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,Free,"Scratch is the world's largest free coding community for kids. Create stories, games, and animations, then share with others around the world! With Scratch Jr., kids of all ages can join in the fun and learn to code!"
